肖申克的救赎  score:9.6
 site: http://movie.douban.com/subject/1292052/

这个杀手不太冷  score:9.4
 site: http://movie.douban.com/subject/1295644/

阿甘正传  score:9.4
 site: http://movie.douban.com/subject/1292720/

霸王别姬  score:9.4
 site: http://movie.douban.com/subject/1291546/

美丽人生  score:9.4
 site: http://movie.douban.com/subject/1292063/

辛德勒的名单  score:9.4
 site: http://movie.douban.com/subject/1295124/

海豚湾  score:9.3
 site: http://movie.douban.com/subject/3442220/

机器人总动员  score:9.3
 site: http://movie.douban.com/subject/2131459/

十二怒汉  score:9.3
 site: http://movie.douban.com/subject/1293182/

盗梦空间  score:9.2
 site: http://movie.douban.com/subject/3541415/

海上钢琴师  score:9.2
 site: http://movie.douban.com/subject/1292001/

三傻大闹宝莱坞  score:9.2
 site: http://movie.douban.com/subject/3793023/

放牛班的春天  score:9.2
 site: http://movie.douban.com/subject/1291549/

教父  score:9.2
 site: http://movie.douban.com/subject/1291841/

忠犬八公的故事  score:9.2
 site: http://movie.douban.com/subject/3011091/

乱世佳人  score:9.2
 site: http://movie.douban.com/subject/1300267/

家园  score:9.2
 site: http://movie.douban.com/subject/3018123/

城市之光  score:9.2
 site: http://movie.douban.com/subject/1293908/

龙猫  score:9.1
 site: http://movie.douban.com/subject/1291560/

泰坦尼克号  score:9.1
 site: http://movie.douban.com/subject/1292722/

天堂电影院  score:9.1
 site: http://movie.douban.com/subject/1291828/

千与千寻  score:9.1
 site: http://movie.douban.com/subject/1291561/

两杆大烟枪  score:9.1
 site: http://movie.douban.com/subject/1293350/

鬼子来了  score:9.1
 site: http://movie.douban.com/subject/1291858/

触不可及  score:9.1
 site: http://movie.douban.com/subject/6786002/

窃听风暴  score:9.1
 site: http://movie.douban.com/subject/1900841/

教父2  score:9.1
 site: http://movie.douban.com/subject/1299131/

小鞋子  score:9.1
 site: http://movie.douban.com/subject/1303021/

熔炉  score:9.1
 site: http://movie.douban.com/subject/5912992/

七武士  score:9.1
 site: http://movie.douban.com/subject/1295399/

摩登时代  score:9.1
 site: http://movie.douban.com/subject/1294371/

迁徙的鸟  score:9.1
 site: http://movie.douban.com/subject/1292281/

爱·回家  score:9.1
 site: http://movie.douban.com/subject/1299361/

黄金三镖客  score:9.1
 site: http://movie.douban.com/subject/1401118/

我爱你  score:9.1
 site: http://movie.douban.com/subject/5908478/

忠犬八公物语  score:9.1
 site: http://movie.douban.com/subject/1959195/

搏击俱乐部  score:9.0
 site: http://movie.douban.com/subject/1292000/

大话西游之大圣娶亲  score:9.0
 site: http://movie.douban.com/subject/1292213/

飞越疯人院  score:9.0
 site: http://movie.douban.com/subject/1292224/

少年派的奇幻漂流  score:9.0
 site: http://movie.douban.com/subject/1929463/

指环王3：王者无敌  score:9.0
 site: http://movie.douban.com/subject/1291552/

钢琴家  score:9.0
 site: http://movie.douban.com/subject/1296736/

美国往事  score:9.0
 site: http://movie.douban.com/subject/1292262/

虎口脱险  score:9.0
 site: http://movie.douban.com/subject/1296909/

海洋  score:9.0
 site: http://movie.douban.com/subject/3443389/

完美的世界  score:9.0
 site: http://movie.douban.com/subject/1300992/

天空之城  score:9.0
 site: http://movie.douban.com/subject/1291583/

狩猎  score:9.0
 site: http://movie.douban.com/subject/6985810/

追随  score:9.0
 site: http://movie.douban.com/subject/1397546/

罗马假日  score:8.9
 site: http://movie.douban.com/subject/1293839/

楚门的世界  score:8.9
 site: http://movie.douban.com/subject/1292064/

当幸福来敲门  score:8.9
 site: http://movie.douban.com/subject/1849031/

怦然心动  score:8.9
 site: http://movie.douban.com/subject/3319755/

闻香识女人  score:8.9
 site: http://movie.douban.com/subject/1298624/

大话西游之月光宝盒  score:8.9
 site: http://movie.douban.com/subject/1299398/

美丽心灵  score:8.9
 site: http://movie.douban.com/subject/1306029/

指环王1：魔戒再现  score:8.9
 site: http://movie.douban.com/subject/1291571/

指环王2：双塔奇兵  score:8.9
 site: http://movie.douban.com/subject/1291572/

蝙蝠侠：黑暗骑士  score:8.9
 site: http://movie.douban.com/subject/1851857/

活着  score:8.9
 site: http://movie.douban.com/subject/1292365/

飞屋环游记  score:8.9
 site: http://movie.douban.com/subject/2129039/

死亡诗社  score:8.9
 site: http://movie.douban.com/subject/1291548/

被嫌弃的松子的一生  score:8.9
 site: http://movie.douban.com/subject/1787291/

玛丽和马克思  score:8.9
 site: http://movie.douban.com/subject/3072124/

上帝之城  score:8.9
 site: http://movie.douban.com/subject/1292208/

阳光姐妹淘  score:8.9
 site: http://movie.douban.com/subject/4917726/

疯狂原始人  score:8.9
 site: http://movie.douban.com/subject/1907966/

一一  score:8.9
 site: http://movie.douban.com/subject/1292434/

饮食男女  score:8.9
 site: http://movie.douban.com/subject/1291818/

你看起来好像很好吃  score:8.9
 site: http://movie.douban.com/subject/4848115/

我是山姆  score:8.9
 site: http://movie.douban.com/subject/1306861/

音乐之声  score:8.9
 site: http://movie.douban.com/subject/1294408/

勇士  score:8.9
 site: http://movie.douban.com/subject/3217169/

雨中曲  score:8.9
